#,blockchain,project,contract_name,type,address,description
1,ethereum,0x API,0x: Exchange Proxy,Aggregator,0xdef1c0ded9bec7f1a1670819833240f027b25eff,
2,ethereum,1inch AggV3,AggregationRouterV3,Aggregator,0x11111112542d85b3ef69ae05771c2dccff4faa26,
3,ethereum,1inch AggV4,AggregationRouterV4,Aggregator,0x1111111254fb6c44bac0bed2854e76f90643097d,used by external project frontends eg oasis
4,ethereum,1inch AggV5,AggregationRouterV5,Aggregator,0x1111111254eeb25477b68fb85ed929f73a960582,1inch wallet + dapp frontend users that choose legacy aggressive option & 1inch API users
5,ethereum,1inch Fusion,Seawise,Solver,0xd1742b3c4fbb096990c8950fa635aec75b30781a,
6,ethereum,1inch Fusion,The T Resolver,Solver,0xa88800cd213da5ae406ce248380802bd53b47647,1inch fusion volume comes from 1inch frontend
7,ethereum,1inch Fusion,Arctic Bastion,Solver,0x0b8a49d816cc709b6eadb09498030ae3416b66dc,
8,ethereum,1inch Fusion,1inch Labs,Solver,0xad3b67bca8935cb510c8d18bd45f0b94f54a968f,
9,ethereum,1inch Fusion,1inch Labs,Solver,0x55dcad916750c19c4ec69d65ff0317767b36ce90,
10,ethereum,Avocado,AvoForwarderProxy,Wallet,0x375f6b0cd12b34dc28e34c26853a37012c24dde5,
11,ethereum,Banana Gun,,Telegram Trading Bot,0xdb5889e35e379ef0498aae126fc2cce1fbd23216,
12,ethereum,Banana Gun,,Telegram Trading Bot,0x58df81babdf15276e761808e872a3838cbecbcf9,
13,ethereum,Bebop,BebopAggregationContract,Aggregator,0xbeb09beb09e95e6febf0d6eeb1d0d46d1013cc3c,
14,ethereum,Bitget,Swap Router V1,Wallet,0x91c8d7e4080bed28e26fce1b87caccfaf7bbf794,undertracked because bitget hits routers directly
15,ethereum,Bitget,Swap Router V2,Wallet,0xd1ca1f4dbb645710f5d5a9917aa984a47524f49a,undertracked because bitget hits routers directly
16,ethereum,Coinbase Swaps,0x: Coinbase Wallet Proxy,Wallet,0xe66b31678d6c16e9ebf358268a790b763c133750,
17,ethereum,Cowswap,GPv2Settlement,Meta-aggregator,0x9008d19f58aabd9ed0d60971565aa8510560ab41,
18,ethereum,Crocswap,CrocSwapDex,AMM,0xaaaaaaaaa24eeeb8d57d431224f73832bc34f688,
19,ethereum,Curvefi,swap_router,DEX,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,
20,ethereum,Curvefi,threepool_swap,Router,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,
21,ethereum,Curvefi,steth_swap,Router,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,
22,ethereum,Curvefi,tricrypto2_swap,Router,0xd51a44d3fae010294c616388b506acda1bfaae46,
23,ethereum,Curvefi,stethng_swap,Router,0x21e27a5e5513d6e65c4f830167390997aa84843a,
24,ethereum,Curvefi,crvUSD/USDC_swap,Router,0x4dece678ceceb27446b35c672dc7d61f30bad69e,
25,ethereum,Curvefi,TricryptoUSDC_swap,Router,0x7f86bf177dd4f3494b841a37e810a34dd56c829b,
26,ethereum,Curvefi,TricryptoUSDT_swap,Router,0xf5f5b97624542d72a9e06f04804bf81baa15e2b4,
27,ethereum,Curvefi,crvUSD/USDT_swap,Router,0x390f3595bca2df7d23783dfd126427cceb997bf4,
28,ethereum,Curvefi,fraxusdc_swap,Router,0xdcef968d416a41cdac0ed8702fac8128a64241a2,
29,ethereum,Curvefi,frxeth_swap,Router,0xa1f8a6807c402e4a15ef4eba36528a3fed24e577,
30,ethereum,Curvefi,RocketpoolrETH/ETH_swap,Router,0x0f3159811670c117c372428d4e69ac32325e4d0f,
31,ethereum,Curvefi,tBTC/WBTC_swap,Router,0xb7ecb2aa52aa64a717180e030241bc75cd946726,
32,ethereum,Curvefi,cbETH/ETH_swap,Router,0x5fae7e604fc3e24fd43a72867cebac94c65b404a,
33,ethereum,Curvefi,lusd_swap,Router,0xed279fdd11ca84beef15af5d39bb4d4bee23f0ca,
34,ethereum,Curvefi,TriCRV_swap,Router,0x4ebdf703948ddcea3b11f675b4d1fba9d2414a14,
35,ethereum,DEXView,ERC1967Proxy,DEX,0xb517850510997a34b4ddc8c3797b4f83fad510c4,
36,ethereum,DODO,DODOFeeRouteProxy,Aggregator,0x50f9bde1c76bba997a5d6e7fefff695ec8536194,
37,ethereum,DODO API,DODOFeeRouteProxy,API Users,0x21b9f852534fb9ddc3a0a7b24f067b50d8ac9a99,
38,ethereum,FireBird,FireBirdRouter,Aggregator,0xe0c38b2a8d09aad53f1c67734b9a95e43d5981c0,
39,ethereum,Integral,TWAPDelay,DEX,0x350232f55a38254320c0200c216ac899f6808014,
40,ethereum,Kyber,MetaAggregationRouterV2,Meta-Aggregator,0x6131b5fae19ea4f9d964eac0408e4408b66337b5,
41,ethereum,Maestro,Maestro: Router 2,Telegram Bot,0x80a64c6d7f12c47b7c66c5b4e20e72bc1fcd5d9e,
42,ethereum,Matcha,0x: Exchange Proxy,Aggregator,0x1291c02d288de3de7dc25353459489073d11e1ae,meta-tx module
43,ethereum,MetaMask Swaps,MetaMask Router,Wallet,0x881d40237659c251811cec9c364ef91dc08d300c,
44,ethereum,OKX,OKX DEX: Aggregation Router,Exchange,0x3b3ae790df4f312e745d270119c6052904fb6790,
45,ethereum,Odos,OdosRouterV2,Aggregator,0xcf5540fffcdc3d510b18bfca6d2b9987b0772559,
46,ethereum,Odos,Odos,Aggregator,0x76f4eed9fe41262669d0250b2a97db79712ad855,
47,ethereum,Openocean,OpenOceanExchangeProxy,Aggregator,0x6352a56caadc4f1e25cd6c75970fa768a3304e64,
48,ethereum,PancakeSwap,SmartRouter,DEX,0x13f4ea83d0bd40e75c8222255bc855a974568dd4,
49,ethereum,Paraswap,AugustusSwapper v5,Aggregator,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,
50,ethereum,Rainbow,RainbowRouter,Wallet,0x00000000009726632680fb29d3f7a9734e3010e2,
51,ethereum,ShibaSwap,UniswapV2Router02,Router,0x03f7724180aa6b939894b5ca4314783b0b36b329,
52,ethereum,SushiSwap,Router02,Router,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,
53,ethereum,Swftswap,SwftSwap,Router,0x92e929d8b2c8430bcaf4cd87654789578bb2b786,
54,ethereum,Tokenlon,Tokenlon,Aggregator,0x03f34be1bf910116595db1b11e9d1b2ca5d59659,used primarily by imtoken wallet
55,ethereum,Transit,TransitSwapRouterV4,Router,0xb45a2dda996c32e93b8c47098e90ed0e7ab18e39,tokenpocket wallet
56,ethereum,Trust Wallet,Swapper,Wallet,0x3c11f6265ddec22f4d049dde480615735f451646,
57,ethereum,UniV2 Degens,?,?,0x7fb89bb24163d3f5fd7a84ef3a2d0b00d5671b85,
58,ethereum,UniV2 Degens,?,?,0x1a8f43e01b78979eb4ef7febec60f32c9a72f58e,
59,ethereum,UniV2 Degens,?,?,0x2ec705d306b51e486b1bc0d6ebee708e0661add1,
60,ethereum,UniV2 Degens,?,?,0x7e0905d9ca2d1a8f654402eb3a2409a9d7a6992e,
61,ethereum,UniV2 Degens,?,?,0x7142a64f89196b0947163aa3b81bbdc9ef686225,
62,ethereum,UniV2 Degens,?,?,0x3587aab69cd2258c34230593cfb028d98e80e434,
63,ethereum,UniV2 Degens,?,?,0xfa889b7c2aebb1a864e0fa96c48925bad92c293e,
64,ethereum,UniV2 Degens,?,?,0xe23cca7144c99de7b3af2bc76337daf8e210e604,
65,ethereum,Unibot,,Telegram Trading Bot,0x3999d2c5207c06bbc5cf8a6bea52966cabb76d41,
66,ethereum,Uniswap Old Universal Router,Old Universal Router,DEX,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,from uniswap swap widget used by external projects eg opensea since June 2023
67,ethereum,Uniswap Universal Router,Universal Router,DEX,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,uniswap wallet + dapp frontend
68,ethereum,Uniswap V2 Router,Router 02,DEX,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,advanced long tail token projects
69,ethereum,Uniswap V3 Router 1,Router,DEX,0xe592427a0aece92de3edee1f18e0157c05861564,unknown external project frontends
70,ethereum,Uniswap V3 Router 2,Router 02,DEX,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,unknown external project frontends
71,ethereum,Uniswap X,ExclusiveDutchOrderReactor,Aggregator,0x6000da47483062a0d734ba3dc7576ce6a0b645c4,
